date,temperature,location
2022-01-01,38.91239299304677,City Center
2022-01-02,35.9046548237497,City Center
2022-01-03,30.00015746720198,City Center
2022-01-04,38.91209162908015,City Center
2022-01-05,30.19175250177476,City Center
2022-01-06,27.131107557689422,City Center
2022-01-07,34.881201853496925,City Center
2022-01-08,42.53628470679601,City Center
2022-01-09,40.24490722908344,City Center
2022-01-10,34.570104783739254,City Center
2022-01-11,38.0337624539451,City Center
2022-01-12,29.03368007270292,City Center
2022-01-13,44.81362342442774,City Center
2022-01-14,29.293481657801742,City Center
2022-01-15,27.637573341892335,City Center
2022-01-16,31.389413587438405,City Center
2022-01-17,35.99605719808151,City Center
2022-01-18,31.00864712618619,City Center
2022-01-19,43.01941809774513,City Center
2022-01-20,34.73431375910416,City Center
2022-01-21,31.914919782002244,City Center
2022-01-22,42.90048415181527,City Center
2022-01-23,38.989065606618794,City Center
2022-01-24,38.77529964697788,City Center
2022-01-25,36.77222969118112,City Center
2022-01-26,34.293557940415894,City Center
2022-01-27,25.19269251953493,City Center
2022-01-28,35.7029225076278,City Center
2022-01-29,30.61344017524058,City Center
2022-01-30,28.95674836619724,City Center
2022-01-31,41.32556537387066,City Center
2022-02-01,35.08516664193936,City Center
2022-02-02,31.205221396921342,City Center
2022-02-03,33.85515157867832,City Center
2022-02-04,25.6103052785961,City Center
2022-02-05,32.647429239318356,City Center
2022-02-06,31.01989541070479,City Center
2022-02-07,33.84085784754489,City Center
2022-02-08,31.283351558049517,City Center
2022-02-09,35.967233477756196,City Center
2022-02-10,36.608146782085186,City Center
2022-02-11,24.25887335673208,City Center
2022-02-12,25.199456997929907,City Center
2022-02-13,32.36358720707609,City Center
2022-02-14,27.15983030981269,City Center
2022-02-15,33.087505734707364,City Center
2022-02-16,36.74875673193041,City Center
2022-02-17,32.81316746308107,City Center
2022-02-18,32.23642093006959,City Center
2022-02-19,27.008165196372612,City Center
2022-02-20,30.191138203595905,City Center
2022-02-21,38.548980820565085,City Center
2022-02-22,23.350983283886304,City Center
2022-02-23,21.80110633362011,City Center
2022-02-24,36.076946155978376,City Center
2022-02-25,31.884122976315062,City Center
2022-02-26,22.571519998522174,City Center
2022-02-27,26.427030324788678,City Center
2022-02-28,26.607793786875774,City Center
2022-03-01,41.01178611978128,City Center
2022-03-02,34.99964666771863,City Center
2022-03-03,30.866749171654853,City Center
2022-03-04,30.3948451012079,City Center
2022-03-05,25.16830296929282,City Center
2022-03-06,27.165543667873845,City Center
2022-03-07,26.23562206311859,City Center
2022-03-08,28.173679608542663,City Center
2022-03-09,25.054442806368513,City Center
2022-03-10,21.05139526532139,City Center
2022-03-11,25.145797611283836,City Center
2022-03-12,23.62912378771515,City Center
2022-03-13,27.606681727404897,City Center
2022-03-14,20.301198803641494,City Center
2022-03-15,25.450638997831977,City Center
2022-03-16,30.731263396325996,City Center
2022-03-17,17.955116050774677,City Center
2022-03-18,20.204783934557152,City Center
2022-03-19,12.311252429549574,City Center
2022-03-20,27.13790558763524,City Center
2022-03-21,19.56631182286945,City Center
2022-03-22,11.309383521089634,City Center
2022-03-23,22.26355020033936,City Center
2022-03-24,28.856535499736843,City Center
2022-03-25,30.989438745094347,City Center
2022-03-26,11.63468033157085,City Center
2022-03-27,13.716332489319328,City Center
2022-03-28,22.99492790448763,City Center
2022-03-29,22.031316553596945,City Center
2022-03-30,14.898865576029802,City Center
2022-03-31,13.215076637489377,City Center
2022-04-01,22.85286367151579,City Center
2022-04-02,15.202310141243425,City Center
2022-04-03,22.386506063925,City Center
2022-04-04,20.471776645859137,City Center
2022-04-05,17.764994879384787,City Center
2022-04-06,15.426305817144378,City Center
2022-04-07,15.350540694234098,City Center
2022-04-08,20.587437935135874,City Center
2022-04-09,24.365025044893272,City Center
2022-04-10,29.484804185398247,City Center
2022-04-11,18.39186696464864,City Center
2022-04-12,15.212021834545242,City Center
2022-04-13,18.23268598545887,City Center
2022-04-14,21.299544580736722,City Center
2022-04-15,20.74519687346064,City Center
2022-04-16,20.121627123115353,City Center
2022-04-17,13.601265152847166,City Center
2022-04-18,11.05990077253406,City Center
2022-04-19,14.36736314967655,City Center
2022-04-20,10.5527257843994,City Center
2022-04-21,9.849144759138616,City Center
2022-04-22,24.014112492383735,City Center
2022-04-23,18.351273743678004,City Center
2022-04-24,10.168028157952634,City Center
2022-04-25,11.364284107646192,City Center
2022-04-26,12.298427228036182,City Center
2022-04-27,11.132570513708236,City Center
2022-04-28,14.989344867950914,City Center
2022-04-29,8.404901010519948,City Center
2022-04-30,6.362176897587002,City Center
2022-05-01,18.04809667016921,City Center
2022-05-02,15.294989481682263,City Center
2022-05-03,13.536663466261846,City Center
2022-05-04,15.36426166946187,City Center
2022-05-05,16.76694752111682,City Center
2022-05-06,13.686451208603968,City Center
2022-05-07,13.464558563467534,City Center
2022-05-08,7.103648110760702,City Center
2022-05-09,16.593654088379946,City Center
2022-05-10,19.772142162576408,City Center
2022-05-11,6.856112244353535,City Center
2022-05-12,11.60410533172638,City Center
2022-05-13,1.3618083193489756,City Center
2022-05-14,15.13141605043488,City Center
2022-05-15,10.155868163934764,City Center
