date,sales,category
2020-01-31,1078.8856532361174,Electronics
2020-02-29,1157.0677945488537,Electronics
2020-03-31,1303.2972123478967,Electronics
2020-04-30,1407.9461813470489,Electronics
2020-05-31,1338.2043187929396,Electronics
2020-06-30,1163.305584664619,Electronics
2020-07-31,1151.2837390908064,Electronics
2020-08-31,930.9217553180905,Electronics
2020-09-30,889.2489364760902,Electronics
2020-10-31,943.0857653911753,Electronics
2020-11-30,952.0483937975321,Electronics
2020-12-31,1030.4887430155707,Electronics
2021-01-31,1301.672561326163,Electronics
2021-02-28,1358.1552017030995,Electronics
2021-03-31,1581.783453970343,Electronics
2021-04-30,1560.001166772604,Electronics
2021-05-31,1569.2470525481147,Electronics
2021-06-30,1551.8943216682721,Electronics
2021-07-31,1377.5820143060516,Electronics
2021-08-31,1307.6853066251174,Electronics
2021-09-30,1250.6762266230241,Electronics
2021-10-31,1105.6420176103527,Electronics
2021-11-30,1207.4985657735167,Electronics
2021-12-31,1369.8238399556458,Electronics
2022-01-31,1496.3249007145732,Electronics
2022-02-28,1637.8134752906153,Electronics
2022-03-31,1822.2360821288496,Electronics
2022-04-30,1979.8420012954168,Electronics
2022-05-31,1888.8540276243998,Electronics
2022-06-30,1754.190696463215,Electronics
2022-07-31,1632.3006720741566,Electronics
2022-08-31,1518.1071823282505,Electronics
2022-09-30,1448.6147880256094,Electronics
2022-10-31,1451.2956780721995,Electronics
2022-11-30,1481.3968109820726,Electronics
2022-12-31,1569.2049343659426,Electronics
2023-01-31,1802.5497345036467,Electronics
2023-02-28,1915.0793727634118,Electronics
2023-03-31,2035.5833713126565,Electronics
2023-04-30,2182.4444666977583,Electronics
2023-05-31,2104.1300695018704,Electronics
2023-06-30,2078.0707316909115,Electronics
2023-07-31,1794.7445832449887,Electronics
2023-08-31,1837.676012253711,Electronics
2023-09-30,1705.1281371672335,Electronics
2023-10-31,1613.0075145157573,Electronics
2023-11-30,1819.549385797505,Electronics
2023-12-31,1798.5449479065696,Electronics
